n,T,p,Tn,sv_sigma,sv_rho,lam,target_radius,seed,path,status,phase1_assembly_time,phase2_factor_time,phase3_solve_time,total_time,iters,hit_maxiter,relative_residual,H_B_nnz,Kbar_nnz_estimate,Kbar_csr_bytes_estimate,M_m_nnz,L_factor_nnz,skip_direct
5,480,12,2400,0.5,0.95,10000.0,0.9,1,direct_splu,ok,0.013143082993337885,0.009993166982894763,0.00020645800395868719,0.023342707980191335,0,0,2.286426261459762e-12,144450,300000,4800000.0,795,393050,0
5,480,12,2400,0.5,0.95,10000.0,0.9,1,pcg_time_avg_chol_explicit_avgK,ok,0.01328924999688752,0.004138833988690749,0.10509995900793001,0.12252804299350828,430,0,9.273217527650121e-09,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.5,0.95,10000.0,0.9,1,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.0002657849999377504,8.277667977381498e-05,0.10509995900793001,0.10544852068764157,430,0,9.273217527650121e-09,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.5,0.95,10000.0,0.9,7,direct_cholmod,ok,0.014081291999900714,0.004057208017911762,0.0001043330121319741,0.01824283302994445,0,0,1.877395278378315e-12,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.5,0.95,10000.0,0.9,7,direct_splu,ok,0.013214875012636185,0.009861041005933657,0.00020170799689367414,0.023277624015463516,0,0,2.6983077456947615e-12,144450,300000,4800000.0,795,401250,0
5,480,12,2400,0.5,0.95,10000.0,0.9,7,pcg_time_avg_chol_explicit_avgK,ok,0.013459957990562543,0.003985124989412725,0.23140283301472664,0.2488479159947019,946,0,9.501728898623513e-09,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.5,0.95,10000.0,0.9,7,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.00026919915981125084,7.97024997882545e-05,0.23140283301472664,0.23175173467432614,946,0,9.501728898623513e-09,144450,300000,4800000.0,795,160975,0
5,480,24,2400,0.1,0.95,10000.0,0.9,0,direct_cholmod,ok,0.04043145800824277,0.014545042009558529,0.00016291599604301155,0.05513941601384431,0,0,3.433708583869501e-13,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.1,0.95,10000.0,0.9,0,direct_splu,ok,0.03865475000930019,0.019911750016035512,0.0003274159971624613,0.05889391602249816,0,0,4.863704086841386e-13,282900,588000,9408000.0,795,602695,0
5,480,24,2400,0.1,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.03887537497212179,0.014919500012183562,0.009451374993659556,0.06324624997796491,22,0,6.571419089571108e-09,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.1,0.95,10000.0,0.9,0,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.0007775074994424358,0.00029839000024367123,0.009451374993659556,0.010527272493345664,22,0,6.571419089571108e-09,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.1,0.95,10000.0,0.9,1,direct_cholmod,ok,0.03846474998863414,0.014332041988382116,0.00015291600720956922,0.052949707984225824,0,0,7.608249173420015e-13,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.1,0.95,10000.0,0.9,1,direct_splu,ok,0.03876887500518933,0.019764583004871383,0.00028191698947921395,0.05881537499953993,0,0,9.788229863047583e-13,282900,588000,9408000.0,795,602695,0
5,480,24,2400,0.1,0.95,10000.0,0.9,1,pcg_time_avg_chol_explicit_avgK,ok,0.03907508298289031,0.014577458990970626,0.008642375003546476,0.06229491697740741,20,0,9.782817967005895e-09,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.1,0.95,10000.0,0.9,1,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.0007815016596578061,0.0002915491798194125,0.008642375003546476,0.009715425843023696,20,0,9.782817967005895e-09,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.1,0.95,10000.0,0.9,7,direct_cholmod,ok,0.037293708010111004,0.014087499992456287,0.00015720899682492018,0.05153841699939221,0,0,3.5238126475832897e-13,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.1,0.95,10000.0,0.9,7,direct_splu,ok,0.03954566700849682,0.019768625003052875,0.00028345800819806755,0.059597750019747764,0,0,4.639972277140463e-13,282900,588000,9408000.0,795,602695,0
5,480,24,2400,0.1,0.95,10000.0,0.9,7,pcg_time_avg_chol_explicit_avgK,ok,0.03934708301676437,0.014270083018345758,0.010252708016196266,0.0638698740513064,24,0,5.2073438688386095e-09,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.1,0.95,10000.0,0.9,7,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.0007869416603352874,0.0002854016603669152,0.010252708016196266,0.011325051336898468,24,0,5.2073438688386095e-09,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.3,0.95,10000.0,0.9,0,direct_cholmod,ok,0.03866545800701715,0.014016500004800037,0.00016120800864882767,0.052843166020466015,0,0,5.839519533137743e-13,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.3,0.95,10000.0,0.9,0,direct_splu,ok,0.03736791599658318,0.020357875007903203,0.0002922080166172236,0.058017999021103606,0,0,9.330200082741768e-13,282900,588000,9408000.0,795,619905,0
5,480,24,2400,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.03819566700258292,0.014446917019085959,0.053387416002806276,0.10603000002447516,124,0,9.773856200711447e-09,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.0007639133400516585,0.00028893834038171915,0.053387416002806276,0.05444026768323965,124,0,9.773856200711447e-09,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.3,0.95,10000.0,0.9,1,direct_cholmod,ok,0.038286249997327104,0.01470199998584576,0.0001488330017309636,0.05313708298490383,0,0,1.158832814585256e-12,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.3,0.95,10000.0,0.9,1,direct_splu,ok,0.038196375011466444,0.020691332989372313,0.0002879579842556268,0.05917566598509438,0,0,1.5430134066847002e-12,282900,588000,9408000.0,795,634360,0
