n,T,p,Tn,sv_sigma,sv_rho,lam,target_radius,seed,path,status,phase1_assembly_time,phase2_factor_time,phase3_solve_time,total_time,iters,hit_maxiter,relative_residual,L_factor_nnz,bandwidth_u,banded_ab_bytes,banded_factor_bytes,H_B_nnz,Kbar_nnz_estimate,Kbar_csr_bytes_estimate,M_m_nnz,skip_direct,banded_total_bytes_estimate,skip_banded
5,480,2,2400,0.3,0.95,10000.0,0.9,0,pcg_banded_time_avg_precision_chol,ok,0.0035600409901235253,0.00023329100804403424,0.019859250023728237,0.023652582021895796,149,0,8.522117553827489e-09,-1,20,403200,403200,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.3,0.95,10000.0,0.9,1,direct_cholmod,ok,0.0037404590111691505,0.0006459589931182563,3.120797919109464e-05,0.0044176259834785014,0,0,2.2674379510735677e-12,32238,-1,-1,-1,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.3,0.95,10000.0,0.9,1,pcg_time_avg_chol_explicit_avgK,ok,0.0037489579990506172,0.0007519170176237822,0.009318416996393353,0.013819292013067752,116,0,7.692300409613758e-09,32238,-1,-1,-1,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.3,0.95,10000.0,0.9,1,pcg_banded_time_avg_precision_chol,ok,0.0034277499944437295,0.0002375839976593852,0.015483749972190708,0.019149083964293823,116,0,7.710480841947514e-09,-1,20,403200,403200,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.3,0.95,10000.0,0.9,7,direct_cholmod,ok,0.0038291670207399875,0.0006156660092528909,3.2082985853776336e-05,0.004476916015846655,0,0,1.5913211086265775e-12,32238,-1,-1,-1,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.3,0.95,10000.0,0.9,7,pcg_time_avg_chol_explicit_avgK,ok,0.003971333004301414,0.0007601660036016256,0.010951125004794449,0.015682624012697488,136,0,9.76225087545071e-09,32238,-1,-1,-1,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.3,0.95,10000.0,0.9,7,pcg_banded_time_avg_precision_chol,ok,0.003305332997115329,0.000242541020270437,0.018414000020129606,0.021961874037515372,136,0,8.498146707119543e-09,-1,20,403200,403200,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.5,0.95,10000.0,0.9,0,direct_cholmod,ok,0.0038830420235171914,0.0006639169878326356,2.9582995921373367e-05,0.0045765420072712,0,0,2.9188555366415467e-12,32238,-1,-1,-1,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.5,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.0041201660060323775,0.0006524999917019159,0.0628171660064254,0.06758983200415969,781,0,9.671126772041113e-09,32238,-1,-1,-1,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.5,0.95,10000.0,0.9,0,pcg_banded_time_avg_precision_chol,ok,0.0034148749837186188,0.0002237499866168946,0.10552875002031215,0.10916737499064766,792,0,9.087607302567927e-09,-1,20,403200,403200,26325,60000,960000.0,795,0,576000,0
