axis,axis_value,n,T,p,sv_sigma,sv_rho,lam,target_radius,seed,preconditioner,iters,status,hit_maxiter,relative_residual,setup_time,solve_time,matvec_time_mean,cond_proxy
T,960,5,960,2,0.3,0.95,10000.0,0.9,1,none,3311,0,0,8.492597139970763e-09,2.910092007368803e-07,0.2972322920104489,8.22500151116401e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,1,jacobi,3794,0,0,9.960546377162491e-09,9.104100172407925e-05,0.3675509580061771,8.22500151116401e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,1,block_jacobi,3831,0,0,8.138148916715412e-09,0.021819166984641925,0.44682983300299384,8.22500151116401e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,1,time_averaged_lu,133,0,0,9.653290345746154e-09,0.00978470902191475,0.037167083006352186,8.22500151116401e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,1,time_averaged_chol,133,0,0,7.995459881271394e-09,0.008691917028045282,0.018995916994754225,8.22500151116401e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,1,direct_splu,0,0,0,2.0520364724242797e-12,0.003154749982059002,0.00019166700076311827,8.22500151116401e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,1,direct_cholmod,0,0,0,2.575843681192543e-12,0.0013938340125605464,5.76250022277236e-05,8.22500151116401e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,7,none,1951,0,0,7.371283214634528e-09,3.7500285543501377e-07,0.1577587919891812,7.4541982030496e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,7,jacobi,2608,0,0,9.935208359419783e-09,0.00014033299521543086,0.2147488750051707,7.4541982030496e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,7,block_jacobi,2624,0,0,9.83827776292268e-09,0.02040287500130944,0.29773849999764934,7.4541982030496e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,7,time_averaged_lu,152,0,0,8.837465397415502e-09,0.009434375009732321,0.039970000012544915,7.4541982030496e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,7,time_averaged_chol,152,0,0,9.049634766181574e-09,0.00869604098261334,0.01967820801655762,7.4541982030496e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,7,direct_splu,0,0,0,1.0025289372029545e-12,0.0033158330188598484,0.0001943749957717955,7.4541982030496e-05,nan
T,960,5,960,2,0.3,0.95,10000.0,0.9,7,direct_cholmod,0,0,0,1.263199307179833e-12,0.0014089170144870877,5.7124998420476913e-05,7.4541982030496e-05,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,0,none,4681,0,0,9.794472874998959e-09,5.420006345957518e-07,0.7016457079735119,0.00012962499749846756,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,0,jacobi,3335,0,0,9.564354305716453e-09,0.00013100000796839595,0.4898085829918273,0.00012962499749846756,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,0,block_jacobi,3335,0,0,9.814593258144107e-09,0.041403167007956654,0.6830962079984602,0.00012962499749846756,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,0,time_averaged_lu,217,0,0,9.70069995675276e-09,0.01944545900914818,0.11219595800503157,0.00012962499749846756,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,0,time_averaged_chol,216,0,0,9.778514184274726e-09,0.017560250009410083,0.05326454198802821,0.00012962499749846756,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,0,direct_splu,0,0,0,9.876088478227609e-13,0.006303583999397233,0.00037304198485799134,0.00012962499749846756,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,0,direct_cholmod,0,0,0,1.5294781550997646e-12,0.00298175000352785,0.00010983398533426225,0.00012962499749846756,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,1,none,4550,0,0,9.936164437483656e-09,2.9098009690642357e-07,0.7112667500041425,0.00013241698616184294,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,1,jacobi,4992,0,0,9.663085158421782e-09,0.00018579099560156465,0.7739528749953024,0.00013241698616184294,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,1,block_jacobi,4956,0,0,9.69056002976195e-09,0.0417960420018062,1.0363224590255413,0.00013241698616184294,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,1,time_averaged_lu,194,0,0,8.658409845944131e-09,0.019416416995227337,0.10207670798990875,0.00013241698616184294,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,1,time_averaged_chol,187,0,0,9.781697893343895e-09,0.017037541983881965,0.046149958012392744,0.00013241698616184294,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,1,direct_splu,0,0,0,2.5431421751857094e-12,0.006444833998102695,0.0003771659976337105,0.00013241698616184294,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,1,direct_cholmod,0,0,0,3.069657007924226e-12,0.002982542006066069,0.00011662498582154512,0.00013241698616184294,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,7,none,2480,0,0,8.524828969846283e-09,2.910092007368803e-07,0.37635775000671856,0.0001349580124951899,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,7,jacobi,3323,0,0,9.398764813892902e-09,0.0002246249932795763,0.5092762080021203,0.0001349580124951899,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,7,block_jacobi,3429,0,0,8.637036445519536e-09,0.04144345800159499,0.7048546249861829,0.0001349580124951899,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,7,time_averaged_lu,206,0,0,9.666652349086452e-09,0.019635333999758586,0.10734562500147149,0.0001349580124951899,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,7,time_averaged_chol,203,0,0,9.637202425818794e-09,0.01789966700016521,0.04898804100230336,0.0001349580124951899,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,7,direct_splu,0,0,0,1.0457588070770614e-12,0.006701417005388066,0.0004013330035377294,0.0001349580124951899,nan
T,1920,5,1920,2,0.3,0.95,10000.0,0.9,7,direct_cholmod,0,0,0,1.2518943039498344e-12,0.0030111660016700625,0.00010716699762269855,0.0001349580124951899,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,0,none,1086,0,0,9.797247528405976e-09,4.580069798976183e-07,0.05646641700877808,4.512499435804784e-05,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,0,jacobi,827,0,0,8.581629762622944e-09,7.60830007493496e-05,0.04465325002092868,4.512499435804784e-05,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,0,block_jacobi,849,0,0,9.279165368003611e-09,0.011543667002115399,0.06420125000295229,4.512499435804784e-05,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,0,time_averaged_lu,13,0,0,9.995240760888573e-09,0.005510417016921565,0.0019654170027934015,4.512499435804784e-05,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,0,time_averaged_chol,13,0,0,9.995230697775923e-09,0.004419750010129064,0.0011360000062268227,4.512499435804784e-05,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,0,direct_splu,0,0,0,5.153384430039773e-13,0.0012918329739477485,9.737498476170003e-05,4.512499435804784e-05,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,0,direct_cholmod,0,0,0,7.867390993858397e-13,0.0006788340106140822,2.9207993065938354e-05,4.512499435804784e-05,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,1,none,903,0,0,9.65256819528338e-09,2.9199873097240925e-07,0.047088124993024394,4.804099444299936e-05,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,1,jacobi,1480,0,0,5.640509921792411e-09,5.179201252758503e-05,0.07754620898049325,4.804099444299936e-05,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,1,block_jacobi,1465,0,0,8.556894270983083e-09,0.01052170799812302,0.10802641598274931,4.804099444299936e-05,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,1,time_averaged_lu,13,0,0,2.925681824040549e-09,0.005333583016181365,0.0019484160002321005,4.804099444299936e-05,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,1,time_averaged_chol,13,0,0,2.9257141931307964e-09,0.004523208015598357,0.0010574169864412397,4.804099444299936e-05,nan
